,taxpayer_id,states,FiledLate,MaritalStatus,EmploymentStatus,EducationLevel,Age_mean,income,median_monthly_income,cleaned_tax,statemode,CreditScore_constant,CreditScore_missing,LoanAmount_end_of_tail
16,17,UK,1,Married,Self-Employed,Master,53.0,55827.128953635445,5004.438100873866,7165.425790727089,UK,452.0,0,180376.6490402443
17,18,BR,1,Divorced,Self-Employed,Master,57.0,36128.43319842809,3010.7027665356736,3225.6866396856176,BR,630.0,0,258249.25840482817
18,19,KA,0,Married,Employed,Master,41.0,84596.51116218045,7049.709263515038,15378.953348654137,KA,596.0,0,175179.43363569654
19,20,MZ,0,Single,Retired,Master,20.0,59066.426997499904,4922.202249791659,7813.285399499981,MZ,-1.0,1,207678.88454544477
20,21,TS,0,Widowed,Retired,Master,39.0,57138.54829314214,4761.545691095179,7427.709658628429,TS,356.0,0,245703.53539337477
21,22,JH,1,Married,Retired,High School,70.0,43928.61646420085,3660.718038683404,4785.723292840169,JH,800.0,0,101969.92892975328
22,23,SK,1,Married,Unemployed,Bachelor,19.0,37502.025344551366,5004.438100873866,3500.4050689102733,SK,302.0,0,442695.1039730998
23,24,MZ,0,Single,Unemployed,PhD,48.78677777777778,70149.53704063839,5845.794753386532,11044.861112191516,MZ,777.0,0,442695.1039730998
24,25,KL,0,Divorced,Retired,Master,61.0,72057.68618565588,6004.807182137991,11617.305855696764,KL,468.0,0,198960.1245575316
25,26,JH,0,Single,Self-Employed,High School,47.0,63627.7920323896,5004.438100873866,7983.148454689412,JH,373.0,0,442695.1039730998
26,27,JH,0,Divorced,Employed,Bachelor,55.0,46247.17593131082,3853.9313276092353,7983.148454689412,JH,461.0,0,95102.8005786314
27,28,GA,1,Single,Self-Employed,High School,19.0,59935.80079297256,3402.5017623362755,4166.004229607061,GA,841.0,0,442695.1039730998
28,29,MZ,1,Divorced,Unemployed,PhD,77.0,34219.524206041926,2851.6270171701603,2843.9048412083853,MZ,388.0,0,213390.05630704423
29,30,UP,0,Single,Employed,High School,38.0,49910.18683059649,4159.18223588304,5982.037366119298,UP,617.0,0,147784.9256277077
30,31,UP,0,Widowed,Self-Employed,Master,50.0,41894.63583451865,3491.2196528765544,4378.927166903731,UP,369.0,0,211358.1598083712
31,32,OR,0,Widowed,Retired,Bachelor,29.0,29232.42548476118,2436.035457063432,1923.242548476118,OR,799.0,0,398944.8393337891
32,33,AR,1,Married,Self-Employed,High School,75.0,71724.21022235486,5977.017518529572,7983.148454689412,AR,395.0,0,120369.70510907896
33,34,BR,0,Widowed,Employed,Bachelor,39.0,36256.85049327058,3021.404207772549,7983.148454689412,BR,-1.0,1,252636.2847545169
34,35,NL,1,Single,Self-Employed,Master,48.78677777777778,77710.60826575322,6475.884022146101,13313.182479725969,NL,652.0,0,442695.1039730998
35,36,UK,1,Widowed,Unemployed,PhD,61.0,67093.29078204234,5591.107565170196,10127.987234612703,UK,-1.0,1,442695.1039730998
36,37,RJ,0,Single,Employed,PhD,42.0,65298.14137713118,5441.511781427598,9589.442413139352,RJ,519.0,0,442695.1039730998
37,38,BR,0,Divorced,Self-Employed,Bachelor,66.0,89975.56282908165,7497.963569090138,7983.148454689412,BR,696.0,0,186915.109635727
38,39,GA,0,Widowed,Unemployed,Master,44.0,36855.55258683856,3071.296048903213,3371.110517367712,GA,765.0,0,212652.10030647356
39,40,MH,1,Widowed,Unemployed,PhD,76.0,75727.89592887832,6310.657994073194,12718.368778663496,MH,373.0,0,305604.75387327315
40,41,GJ,0,Divorced,Unemployed,High School,59.0,54642.43368561426,4553.536140467855,6928.486737122853,GJ,798.0,0,82086.2054174281
41,42,KL,0,Widowed,Self-Employed,Bachelor,45.0,106279.26281933172,8856.60523494431,21883.77884579952,KL,365.0,0,442695.1039730998
42,43,AR,1,Married,Self-Employed,Bachelor,77.0,53145.70023949423,4428.808353291186,6629.140047898846,AR,569.0,0,46541.83290933314
43,44,NL,1,Single,Employed,Master,48.78677777777778,50238.44994973888,4186.537495811573,7983.148454689412,NL,715.0,0,226212.3028218081
44,45,TS,1,Married,Retired,Master,32.0,67659.6439474308,5638.3036622859,7983.148454689412,TS,-1.0,1,204829.83210712188
45,46,MP,0,Divorced,Retired,PhD,79.0,56239.64642024449,4686.637201687041,7983.148454689412,MP,446.0,0,442695.1039730998
46,47,MP,1,Widowed,Employed,Bachelor,79.0,46347.66667860236,5004.438100873866,5269.533335720471,MP,395.0,0,202902.03009275623
47,48,TR,1,Single,Retired,High School,64.0,42535.01788915493,3544.584824096244,4507.003577830987,TR,629.0,0,241746.10667292023
48,49,CG,1,Married,Retired,High School,79.0,86247.68079097325,5004.438100873866,15874.304237291974,CG,505.0,0,236937.20104759335
49,50,GJ,1,Married,Employed,High School,68.0,39057.69062580015,3254.8075521500123,3811.538125160029,GJ,533.0,0,185637.3441973403
50,51,KL,1,Divorced,Employed,High School,61.0,59935.80079297256,5334.63134057075,9204.6728260547,KL,702.0,0,256261.32492152863
51,52,TR,0,Widowed,Employed,Master,72.0,79011.31451326971,6584.276209439143,13703.394353980912,TR,630.0,0,181632.0768444845
52,53,MH,1,Single,Unemployed,PhD,69.0,79880.90973796739,6656.742478163949,13964.272921390217,MH,782.0,0,207476.406723394
53,54,AP,1,Widowed,Employed,Master,74.0,49170.25676073409,4097.5213967278405,5834.051352146818,AP,466.0,0,442695.1039730998
54,55,TS,1,Widowed,Unemployed,High School,20.0,59935.80079297256,5004.438100873866,7257.734717747254,TS,799.0,0,442695.1039730998
55,56,JH,0,Divorced,Self-Employed,High School,54.0,52796.51698174129,4399.709748478441,6559.3033963482585,JH,393.0,0,283822.41040717764
56,57,UP,0,Divorced,Employed,PhD,68.0,32369.662272014248,2697.4718560011875,2473.932454402849,UP,-1.0,1,442695.1039730998
57,58,TR,1,Single,Retired,Bachelor,24.0,69675.31289436208,5806.276074530173,10902.593868308624,TR,649.0,0,234104.0731558051
58,59,HP,1,Single,Retired,Master,38.0,59935.80079297256,5057.755468452213,8207.919686427966,HP,538.0,0,236918.8682130809
59,60,JH,1,Divorced,Retired,PhD,26.0,85930.53145083382,7160.877620902818,15779.159435250143,JH,502.0,0,341408.9754983423
60,61,GJ,1,Divorced,Retired,High School,56.0,45182.30824857439,3765.1923540478656,5036.461649714878,GJ,513.0,0,263428.52121722914
61,62,ML,0,Single,Unemployed,High School,35.0,59935.80079297256,6633.044837926544,7983.148454689412,ML,565.0,0,149835.97836612212
62,63,WB,0,Married,Self-Employed,Bachelor,21.0,80866.21470511568,6738.851225426307,14259.864411534703,WB,406.0,0,442695.1039730998
63,64,WB,0,Married,Employed,PhD,42.0,60847.29036254197,5070.607530211831,8254.187108762591,WB,673.0,0,-3400.638165039767
64,65,KL,1,Widowed,Employed,PhD,77.0,20924.491724993957,1743.707643749496,1092.4491724993954,KL,570.0,0,442695.1039730998
65,66,KL,1,Single,Self-Employed,High School,31.0,59935.80079297256,5004.438100873866,6154.756433200556,KL,-1.0,1,170458.4231920552
66,67,UP,0,Single,Retired,Bachelor,67.0,92145.6802374741,7678.806686456175,17643.704071242228,UP,334.0,0,158026.21311051515
67,68,OR,0,Widowed,Employed,Master,75.0,65347.00388685436,5445.583657237864,9604.101166056307,OR,846.0,0,442695.1039730998
68,69,MP,1,Single,Self-Employed,High School,26.0,72481.19470569395,6040.099558807829,7983.148454689412,MP,300.0,0,322966.91891475284
69,70,RJ,0,Married,Retired,High School,43.0,58395.001530570575,4866.250127547548,7679.000306114115,RJ,408.0,0,-15021.920115291228
70,71,NL,0,Single,Employed,Bachelor,70.0,55978.02762246368,4664.835635205307,7983.148454689412,NL,410.0,0,98489.916410994
71,72,UK,0,Divorced,Retired,Bachelor,19.0,59935.80079297256,2198.983146950741,1638.779776340889,UK,544.0,0,390935.1391323664
72,73,UP,0,Single,Self-Employed,PhD,37.0,74305.30590699552,5004.438100873866,12291.591772098654,UP,573.0,0,442695.1039730998
73,74,AS,0,Single,Unemployed,High School,45.0,79434.26168500277,6619.521807083564,13830.278505500832,AS,325.0,0,224471.45543131404
74,75,UP,1,Widowed,Retired,Master,64.0,42884.47886159961,3573.706571799968,4576.895772319922,UP,615.0,0,199623.31265216903
75,76,GJ,1,Divorced,Retired,High School,77.0,56780.60781285047,4731.717317737539,7356.121562570093,GJ,-1.0,1,442695.1039730998
76,77,AP,1,Widowed,Unemployed,Bachelor,24.0,54352.657007622765,4529.388083968564,6870.531401524553,AP,-1.0,1,442695.1039730998
77,78,AS,1,Single,Self-Employed,Master,61.0,67562.75929175316,5630.22994097943,10268.827787525948,AS,593.0,0,229411.7457224784
78,79,RJ,0,Divorced,Self-Employed,High School,78.0,50201.45553283629,4183.454627736358,6040.291106567258,RJ,-1.0,1,442695.1039730998
79,80,UK,1,Married,Unemployed,PhD,25.0,76764.13661729405,6397.011384774503,7983.148454689412,UK,611.0,0,144558.82885718285
80,81,MH,0,Married,Retired,Master,64.0,59935.80079297256,5106.986474186733,7983.148454689412,MH,-1.0,1,442695.1039730998
81,82,BR,0,Single,Unemployed,Bachelor,48.78677777777778,14110.384999475442,1175.8654166229535,411.0384999475442,BR,487.0,0,253175.03565379712
82,83,OR,1,Married,Unemployed,PhD,31.0,67968.96495346758,5664.080412788965,10390.689486040275,OR,654.0,0,262018.77355066943
83,84,SK,1,Single,Unemployed,PhD,34.0,77934.31777663413,6494.526481386177,13380.295332990238,SK,611.0,0,266553.5373262569
84,85,WB,1,Widowed,Employed,PhD,53.0,39262.8901152311,3271.907509602592,3852.578023046221,WB,745.0,0,187319.7051572715
85,86,GA,1,Single,Unemployed,Bachelor,67.0,67357.08482954233,5613.090402461861,10207.1254488627,GA,455.0,0,27317.906126152116
86,87,PB,0,Divorced,Retired,Bachelor,57.0,92939.27405557578,7744.939504631315,7983.148454689412,PB,336.0,0,101988.12413574135
87,88,HP,0,Divorced,Retired,High School,21.0,62017.1947532083,5168.099562767358,8605.15842596249,HP,846.0,0,302869.0834797256
88,89,KA,0,Single,Retired,PhD,19.0,80549.31955793081,6712.443296494234,14164.795867379242,KA,737.0,0,442695.1039730998
89,90,SK,1,Married,Unemployed,Master,48.78677777777778,52041.21053574263,5004.438100873866,6408.242107148527,SK,626.0,0,442695.1039730998
90,91,MN,1,Widowed,Employed,Master,23.0,59935.80079297256,4973.053567314266,7983.148454689412,MN,653.0,0,118300.52006232602
91,92,HP,0,Single,Employed,PhD,71.0,56316.81681732577,4693.068068110481,7263.363363465155,HP,561.0,0,110251.79596373552
92,93,KA,0,Married,Employed,Bachelor,59.0,53031.83232574398,4419.319360478665,7983.148454689412,KA,318.0,0,442695.1039730998
93,94,UP,1,Divorced,Unemployed,High School,21.0,57341.00318850464,4778.416932375386,7468.200637700927,UP,661.0,0,349029.0417683036
94,95,JH,1,Widowed,Self-Employed,Bachelor,71.0,30647.727943362283,2553.977328613524,7983.148454689412,JH,307.0,0,442695.1039730998
95,96,AR,0,Married,Unemployed,Bachelor,46.0,54044.15758110066,4503.679798425055,6808.8315162201325,AR,731.0,0,161230.20544242987
96,97,SK,0,Single,Self-Employed,PhD,48.78677777777778,84080.51619768213,7006.709683140178,15224.154859304635,SK,777.0,0,442695.1039730998
97,98,MH,0,Widowed,Employed,PhD,43.0,42653.578976667,3554.46491472225,4530.7157953334,MH,749.0,0,73631.77672619205
98,99,BR,1,Widowed,Retired,High School,61.0,40809.601113480414,3400.8000927900343,4161.920222696082,BR,-1.0,1,296927.53821275785
99,100,AR,0,Married,Employed,PhD,51.0,61101.82268510559,5091.818557092132,8330.546805531676,AR,835.0,0,361640.2255349621
100,101,CG,0,Married,Retired,Bachelor,27.0,62001.2965804304,5166.774715035866,8600.388974129119,CG,418.0,0,246453.54356623223
101,102,MH,1,Single,Retired,Master,79.0,66794.36494297175,5566.197078580979,10038.309482891524,MH,756.0,0,106976.31442899126
102,103,MN,0,Divorced,Employed,PhD,53.0,57952.7056826765,4829.392140223042,7590.541136535301,MN,308.0,0,442695.1039730998
103,104,OR,0,Widowed,Unemployed,High School,31.0,59935.80079297256,5107.796246687501,8388.066488075003,OR,746.0,0,442695.1039730998
104,105,GA,0,Single,Self-Employed,High School,48.0,53684.07407467802,4473.6728395565015,6736.814814935605,GA,467.0,0,188772.9298309938
105,106,UK,1,Divorced,Retired,Bachelor,65.0,37035.66920460065,3086.305767050054,3407.13384092013,UK,662.0,0,122479.02971336448
106,107,MN,1,Married,Unemployed,PhD,32.0,58714.94637040829,4892.912197534024,7742.989274081658,MN,566.0,0,108815.3472005072
107,108,MH,0,Divorced,Unemployed,High School,25.0,73042.74593596435,6086.895494663696,11912.823780789306,MH,628.0,0,442695.1039730998
108,109,HR,1,Married,Employed,Bachelor,31.0,69270.98327434203,5772.581939528502,10781.294982302608,HR,315.0,0,193905.16812263025
109,110,PB,0,Divorced,Employed,Bachelor,40.0,28603.641715092825,2383.636809591069,1860.3641715092824,PB,580.0,0,193069.42270456377
110,111,KL,0,Single,Employed,PhD,77.0,64534.6565395635,5377.888044963624,9360.39696186905,KL,715.0,0,210086.52078960327
111,112,BR,1,Married,Employed,PhD,74.0,43930.14853457095,3660.845711214246,7983.148454689412,BR,777.0,0,43807.63876565808
112,113,RJ,0,Widowed,Retired,PhD,79.0,85058.95209398487,7088.246007832073,15517.68562819546,RJ,740.0,0,442695.1039730998
113,114,GA,1,Single,Employed,Bachelor,57.0,65872.85609271083,5489.40467439257,9761.85682781325,GA,596.0,0,442695.1039730998
114,115,KA,1,Single,Employed,Bachelor,38.0,76133.11128235092,5004.438100873866,12839.933384705277,KA,679.0,0,319612.1940979976
115,116,TN,0,Divorced,Unemployed,Master,33.0,60381.02659946748,5031.75221662229,8114.307979840243,TN,364.0,0,266209.5115446036
116,117,SK,0,Single,Unemployed,Bachelor,62.0,58811.0100198454,5004.438100873866,7762.202003969081,SK,459.0,0,102860.12224053893
117,118,GJ,1,Divorced,Self-Employed,High School,35.0,59935.80079297256,7243.767376479871,16077.562555327537,GJ,475.0,0,168526.0583466907
118,119,TR,1,Divorced,Unemployed,Bachelor,48.78677777777778,77509.93913925029,6459.161594937525,13252.981741775086,TR,424.0,0,442695.1039730998
119,120,BR,0,Married,Employed,PhD,70.0,62121.45574045586,5176.7879783713215,8636.436722136757,BR,374.0,0,442695.1039730998
120,121,UP,1,Single,Employed,Bachelor,41.0,56406.004329526826,4700.500360793903,7281.200865905365,UP,804.0,0,442695.1039730998
121,122,MN,0,Single,Self-Employed,PhD,43.0,29270.854940444344,2439.2379117036958,1927.0854940444344,MN,638.0,0,196757.6334691333
122,123,AP,0,Widowed,Employed,Bachelor,48.78677777777778,65842.21562773452,5486.85130231121,9752.664688320356,AP,434.0,0,242897.19442868413
123,124,HP,1,Single,Self-Employed,Master,48.78677777777778,57730.128552245136,4810.844046020428,7546.025710449027,HP,776.0,0,164648.4964004098
124,125,TN,0,Widowed,Self-Employed,Bachelor,77.0,59935.80079297256,5830.934070623414,10991.36265424429,TN,352.0,0,163549.38878297526
125,126,PB,1,Single,Employed,Bachelor,48.78677777777778,75440.73914762615,6286.728262302179,12632.221744287846,PB,527.0,0,442695.1039730998
126,127,UP,0,Divorced,Unemployed,High School,62.0,82192.57971085043,6849.38164257087,14657.773913255129,UP,399.0,0,322944.8513873183
127,128,HR,0,Widowed,Unemployed,Master,58.0,59935.80079297256,5505.489366341606,9819.76171882978,HR,776.0,0,247341.70986935103
128,129,KL,0,Divorced,Unemployed,PhD,46.0,59935.80079297256,3430.4593023076923,4233.102325538462,KL,648.0,0,122685.5128071146
129,130,GJ,0,Widowed,Self-Employed,High School,32.0,21312.3560834736,1776.0296736228,1131.2356083473603,GJ,334.0,0,256443.42498049984
130,131,WB,0,Single,Unemployed,Bachelor,62.0,45155.40251357775,5004.438100873866,5031.080502715549,WB,558.0,0,442695.1039730998
131,132,NL,0,Widowed,Self-Employed,High School,18.0,84002.79299109122,5004.438100873866,15200.837897327365,NL,-1.0,1,286517.09948265983
132,133,AP,1,Divorced,Retired,PhD,42.0,92822.84644738994,7735.237203949161,17846.853934216982,AP,780.0,0,222514.151337492
133,134,HP,1,Divorced,Self-Employed,PhD,24.0,55717.786468154845,4643.148872346237,7143.557293630969,HP,619.0,0,213679.32461183745
134,135,GJ,0,Single,Employed,High School,48.78677777777778,33702.73342291768,2808.561118576473,2740.546684583536,GJ,438.0,0,125484.35106831547
135,136,MH,1,Divorced,Employed,Master,41.0,48328.55564994888,4027.37963749574,5665.711129989777,MH,429.0,0,306531.6676342301
136,137,UP,1,Single,Unemployed,PhD,18.0,80480.50480856167,6706.708734046806,14144.151442568502,UP,682.0,0,253336.14556745064
137,138,AP,1,Married,Employed,Master,61.0,49361.76287651208,4113.48023970934,5872.352575302415,AP,398.0,0,279112.3425872034
138,139,MP,1,Divorced,Unemployed,PhD,25.0,70604.23105801526,5883.685921501271,11181.269317404576,MP,713.0,0,49370.911727414175
139,140,PB,1,Married,Retired,Master,41.0,63034.04942336463,5252.837451947053,8910.21482700939,PB,320.0,0,276526.0646980785
140,141,MN,0,Married,Self-Employed,PhD,28.0,72780.05866266697,6065.004888555581,11834.01759880009,MN,740.0,0,202005.6950652472
141,142,CG,0,Widowed,Employed,High School,68.0,92724.19798104667,7727.016498420557,17817.259394314005,CG,654.0,0,442695.1039730998
142,143,CG,0,Married,Unemployed,Master,34.0,70616.06655961809,5004.438100873866,11184.819967885427,CG,607.0,0,104164.41403153348
143,144,MH,0,Widowed,Retired,High School,25.0,62644.492979482726,5220.374414956894,8793.347893844817,MH,497.0,0,345053.2860515879
144,145,MH,0,Divorced,Employed,High School,48.78677777777778,94710.72418456056,7892.560348713379,18413.217255368167,MH,757.0,0,147840.527266526
145,146,MH,1,Single,Employed,PhD,52.0,66291.9378292511,5524.328152437592,9887.58134877533,MH,820.0,0,442695.1039730998
146,147,CG,1,Single,Retired,Bachelor,50.0,45726.94504803119,3810.578754002599,5145.389009606237,CG,780.0,0,183623.8679399724
147,148,KA,0,Widowed,Self-Employed,High School,76.0,72374.37521585074,6031.197934654228,11712.312564755222,KA,331.0,0,348023.6034007705
148,149,OR,0,Widowed,Employed,Bachelor,22.0,68054.19975839347,5671.183313199456,10416.259927518042,OR,-1.0,1,442695.1039730998
149,150,CG,1,Married,Retired,PhD,59.0,54457.757839129205,4538.146486594101,6891.551567825841,CG,411.0,0,350779.1275784981
150,151,BR,0,Widowed,Unemployed,High School,56.0,50683.45105560708,4223.6209213005895,6136.690211121415,BR,558.0,0,194398.57817309507
151,152,MN,0,Married,Employed,Bachelor,75.0,54631.32922833166,4552.610769027639,6926.265845666333,MN,576.0,0,442695.1039730998
152,153,RJ,1,Married,Self-Employed,Master,48.78677777777778,50425.99156496838,4202.165963747365,6085.198312993676,RJ,627.0,0,442695.1039730998
153,154,GJ,0,Widowed,Self-Employed,Bachelor,45.0,55216.32326316796,4601.360271930663,7983.148454689412,GJ,415.0,0,442695.1039730998
154,155,CG,0,Married,Retired,High School,24.0,44829.66115964649,3735.805096637208,4965.932231929299,CG,-1.0,1,151671.6955738502
155,156,MN,0,Divorced,Self-Employed,Bachelor,26.0,66950.78438687668,5579.232032239724,10085.235316063005,MN,832.0,0,299451.9681895461
156,157,MH,0,Divorced,Unemployed,PhD,25.0,65601.62365125875,5466.801970938229,9680.487095377624,MH,597.0,0,91752.31991346672
157,158,TS,0,Widowed,Retired,Bachelor,48.78677777777778,66213.63199013045,5517.802665844204,9864.089597039136,TS,357.0,0,352925.5116307433
158,159,TS,1,Married,Retired,Master,51.0,58877.35189014023,4906.445990845019,7775.470378028046,TS,414.0,0,185198.711524839
159,160,AS,0,Widowed,Self-Employed,Bachelor,50.0,56802.06139154889,4733.505115962407,7360.412278309777,AS,687.0,0,442695.1039730998
160,161,CG,0,Divorced,Self-Employed,Master,65.0,85956.10435776327,7163.008696480272,7983.148454689412,CG,612.0,0,442695.1039730998
161,162,KL,1,Married,Retired,Bachelor,72.0,61213.30596308045,5101.108830256704,8363.991788924135,KL,847.0,0,214621.05996204773
162,163,PB,0,Widowed,Unemployed,PhD,40.0,82747.80322899859,5004.438100873866,14824.340968699576,PB,-1.0,1,187696.8005579093
163,164,MH,0,Single,Unemployed,PhD,79.0,42064.51230300636,3505.37602525053,4412.902460601272,MH,351.0,0,149610.87062561075
164,165,CG,1,Married,Unemployed,Bachelor,41.0,70605.20101562481,5883.766751302068,11181.560304687444,CG,751.0,0,305126.17920435057
165,166,TS,1,Divorced,Unemployed,High School,54.0,46775.34534011972,3897.945445009977,7983.148454689412,TS,821.0,0,442695.1039730998
166,167,BR,1,Single,Unemployed,High School,52.0,49989.26529071998,4165.772107559998,5997.853058143996,BR,451.0,0,442695.1039730998
167,168,RJ,1,Divorced,Retired,Master,61.0,52585.69488130407,4382.141240108673,6517.138976260815,RJ,665.0,0,231858.55921310783
168,169,ML,1,Divorced,Retired,Master,57.0,51457.21856513199,4288.101547094332,6291.443713026398,ML,808.0,0,137600.74415277108
169,170,GJ,0,Widowed,Employed,High School,39.0,51547.11618332668,4295.593015277224,6309.423236665337,GJ,-1.0,1,442695.1039730998
170,171,AS,1,Divorced,Self-Employed,Master,44.0,81910.95161803017,6825.912634835848,14573.285485409053,AS,569.0,0,442695.1039730998
171,172,SK,1,Single,Unemployed,High School,52.0,59935.80079297256,5068.11675967646,8245.220334835254,SK,549.0,0,288567.7120472728
172,173,TR,1,Widowed,Self-Employed,Bachelor,18.0,64050.997005772966,5337.583083814414,9215.29910173189,TR,759.0,0,147155.2891546836
173,174,UK,1,Widowed,Retired,Master,52.0,51771.12065607391,4314.260054672825,6354.224131214782,UK,-1.0,1,123020.820531033
174,175,BR,0,Married,Employed,Bachelor,48.78677777777778,75424.90746692596,6285.408955577163,7983.148454689412,BR,411.0,0,207908.27610582425
175,176,PB,1,Single,Retired,High School,64.0,66391.01300830055,5532.584417358379,9917.303902490165,PB,402.0,0,71246.53978879887
176,177,SK,0,Single,Employed,Master,31.0,54439.2844017047,4536.607033475392,6887.856880340941,SK,311.0,0,273196.2207126601
177,178,GA,0,Divorced,Retired,Master,20.0,31482.889932720424,2623.5741610600357,2296.5779865440845,GA,769.0,0,442695.1039730998
178,179,AS,1,Widowed,Unemployed,Master,18.0,63893.33625123368,5324.444687602806,7983.148454689412,AS,531.0,0,187725.5191992559
179,180,AP,0,Single,Self-Employed,Master,22.0,70362.23140563825,5863.519283803187,11108.669421691471,AP,803.0,0,442695.1039730998
180,181,AS,0,Single,Self-Employed,Bachelor,43.0,42380.73891017977,3531.7282425149806,4476.147782035954,AS,754.0,0,442695.1039730998
181,182,TS,0,Divorced,Employed,Master,72.0,54682.89686341508,4556.908071951257,6936.579372683016,TS,336.0,0,442695.1039730998
182,183,HR,1,Married,Employed,Master,31.0,69668.8890262972,5805.740752191434,10900.66670788916,HR,449.0,0,442695.1039730998
183,184,ML,1,Single,Retired,PhD,56.0,31723.294971808187,2643.607914317349,2344.6589943616373,ML,436.0,0,104323.42877073976
184,185,SK,0,Divorced,Employed,Master,48.78677777777778,48320.66069862199,4026.7217248851657,5664.132139724397,SK,763.0,0,137457.8716456079
185,186,GJ,1,Married,Unemployed,Master,48.78677777777778,66784.36094927523,5565.363412439602,10035.308284782568,GJ,-1.0,1,279151.7092111961
186,187,NL,1,Married,Retired,PhD,32.0,79890.33189932897,6657.527658277415,13967.099569798693,NL,640.0,0,442695.1039730998
187,188,HP,1,Married,Unemployed,High School,32.0,99344.036620881,8278.66971840675,7983.148454689412,HP,628.0,0,295886.8144140319
188,189,AS,0,Married,Employed,Bachelor,43.0,59935.80079297256,7937.982152550636,18576.73574918229,AS,695.0,0,183877.6519997481
189,190,NL,1,Single,Self-Employed,High School,59.0,62587.85068168816,5215.654223474014,8776.35520450645,NL,415.0,0,56515.913889578514
190,191,ML,1,Single,Unemployed,PhD,77.0,51283.91613332486,4273.659677777072,6256.783226664973,ML,628.0,0,259894.46906196547
191,192,RJ,0,Divorced,Retired,PhD,30.0,76616.20081987594,6384.683401656329,12984.860245962784,RJ,774.0,0,178291.59829359403
192,193,AP,1,Single,Self-Employed,Bachelor,68.0,50215.32737297417,4184.610614414514,6043.065474594834,AP,334.0,0,229724.474746566
193,194,RJ,0,Single,Employed,Master,49.0,59935.80079297256,3856.8570725815225,5256.456974195655,RJ,662.0,0,150142.4239392716
194,195,UP,1,Single,Unemployed,Master,56.0,59935.80079297256,4542.100921452349,6901.042211485638,UP,465.0,0,442695.1039730998
195,196,PB,1,Married,Employed,High School,66.0,52247.88059681207,4353.99004973434,6449.576119362415,PB,686.0,0,235652.87529914855
196,197,ML,1,Single,Unemployed,PhD,69.0,67427.35121518576,5618.945934598813,10228.205364555728,ML,527.0,0,373311.0840195371
197,198,KL,1,Widowed,Self-Employed,Bachelor,78.0,49156.7708015815,4096.397566798459,5831.3541603163,KL,732.0,0,442695.1039730998
198,199,GA,0,Divorced,Retired,PhD,48.78677777777778,61532.19703136067,5127.683085946723,7983.148454689412,GA,525.0,0,442695.1039730998
199,200,WB,1,Single,Employed,Master,21.0,88709.16212529577,7392.430177107981,16612.74863758873,WB,315.0,0,130839.84443943154
200,201,RJ,0,Widowed,Self-Employed,PhD,47.0,62198.53285333286,5183.211071111072,8659.559855999858,RJ,467.0,0,442695.1039730998
201,202,HP,0,Widowed,Self-Employed,Bachelor,54.0,87301.36118619199,7275.113432182667,16190.4083558576,HP,307.0,0,189699.25894685843
