taxpayer_id,age,monthly_income,Dependents,states,FiledLate,PropertyValue,LoanAmount,CreditScore,MaritalStatus,EmploymentStatus,EducationLevel,HealthExpenses,annual_income,tax
25,61.0,6004.807182137991,3.0,KL,0,105429.16856898228,198960.12455753156,468.0,Divorced,Retired,Master,3332.879637237619,72057.68618565588,11617.305855696764
26,47.0,,2.0,JH,0,264002.90759152535,,373.0,Single,Self-Employed,High School,5347.298410087462,63627.792032389596,
27,55.0,3853.9313276092353,,JH,0,186291.70496791138,95102.80057863139,461.0,Divorced,Employed,Bachelor,,46247.17593131082,
28,19.0,3402.5017623362755,1.0,GA,1,127151.27948382313,,841.0,Single,Self-Employed,High School,,,4166.004229607061
29,77.0,2851.6270171701603,4.0,MZ,1,363844.2145643149,213390.05630704423,388.0,Divorced,Unemployed,PhD,8758.881909255351,34219.524206041926,2843.9048412083853
30,38.0,4159.18223588304,,UP,0,,147784.9256277077,617.0,Single,Employed,High School,5056.742962368364,49910.18683059649,5982.037366119298
31,50.0,3491.2196528765544,3.0,UP,0,412254.2795506654,211358.15980837116,369.0,Widowed,Self-Employed,Master,6689.008614012773,41894.63583451865,4378.927166903731
32,29.0,2436.0354570634317,4.0,OR,0,292608.03060317034,398944.8393337891,799.0,Widowed,Retired,Bachelor,4109.980104068661,29232.42548476118,1923.2425484761181
33,75.0,5977.017518529572,2.0,AR,1,278143.10016683274,120369.70510907896,395.0,Married,Self-Employed,High School,5579.113808422925,71724.21022235486,
34,39.0,3021.404207772549,4.0,BR,0,172544.17611943302,252636.2847545169,,Widowed,Employed,Bachelor,,36256.850493270584,
35,,6475.884022146101,,NL,1,237400.55301734683,,652.0,Single,Self-Employed,Master,4701.384044916669,77710.60826575322,13313.182479725967
36,61.0,5591.107565170196,2.0,UK,1,120564.89467737704,,,Widowed,Unemployed,PhD,,67093.29078204234,10127.987234612703
37,42.0,5441.511781427598,1.0,RJ,0,403893.28785167367,,519.0,Single,Employed,PhD,6967.79619475214,65298.14137713118,9589.442413139353
38,66.0,7497.963569090138,,BR,0,168315.89149028098,186915.109635727,696.0,Divorced,Self-Employed,Bachelor,4892.331317671787,89975.56282908165,
39,44.0,3071.296048903213,3.0,GA,0,322072.26890834194,212652.10030647353,765.0,Widowed,Unemployed,Master,4886.809675699089,36855.55258683856,3371.110517367712
40,76.0,6310.657994073194,2.0,MH,1,275330.87163743936,305604.75387327315,373.0,Widowed,Unemployed,PhD,5626.996968983016,75727.89592887832,12718.368778663496
41,59.0,4553.536140467855,1.0,GJ,0,338866.3012329193,82086.2054174281,798.0,Divorced,Unemployed,High School,6757.182876978519,54642.43368561426,6928.486737122853
42,45.0,8856.60523494431,0.0,KL,0,303445.9065423622,,365.0,Widowed,Self-Employed,Bachelor,,106279.26281933172,21883.778845799516
43,77.0,4428.808353291186,,AR,1,,46541.83290933314,569.0,Married,Self-Employed,Bachelor,5487.822153112774,53145.70023949423,6629.140047898846
44,,4186.537495811573,2.0,NL,1,266731.18203559483,226212.30282180812,715.0,Single,Employed,Master,,50238.449949738875,
45,32.0,5638.3036622859,,TS,1,426677.451774029,204829.83210712188,,Married,Retired,Master,7618.421408973318,67659.6439474308,
46,79.0,4686.637201687041,1.0,MP,0,217684.59105100884,,446.0,Divorced,Retired,PhD,,56239.64642024449,
47,79.0,,0.0,MP,1,415747.71270866616,202902.03009275626,395.0,Widowed,Employed,Bachelor,7453.172116285229,46347.666678602356,5269.533335720471
48,64.0,3544.584824096244,1.0,TR,1,366162.6994837989,241746.10667292023,629.0,Single,Retired,High School,,42535.01788915493,4507.003577830987
49,79.0,,4.0,CG,1,313929.73241256975,236937.20104759338,505.0,Married,Retired,High School,,86247.68079097325,15874.304237291974
50,68.0,3254.8075521500123,,GJ,1,226072.72326699266,185637.3441973403,533.0,Married,Employed,High School,6740.713889244779,39057.69062580015,3811.5381251600293
51,61.0,5334.63134057075,1.0,KL,1,327247.42960964824,256261.32492152863,702.0,Divorced,Employed,High School,,,9204.672826054699
52,72.0,6584.276209439143,,TR,0,248969.9965076697,181632.07684448446,630.0,Widowed,Employed,Master,5700.888633283401,79011.31451326971,13703.394353980912
53,69.0,6656.742478163949,1.0,MH,1,410461.6565440215,207476.406723394,782.0,Single,Unemployed,PhD,4144.74333099845,79880.90973796739,13964.272921390217
54,74.0,4097.5213967278405,2.0,AP,1,171261.48478489282,,466.0,Widowed,Employed,Master,4460.151582384784,49170.25676073409,5834.051352146818
55,20.0,,3.0,TS,1,330799.6077630848,,799.0,Widowed,Unemployed,High School,2915.7133211801,,7257.734717747254
56,54.0,4399.709748478441,,JH,0,302875.7891052305,283822.41040717764,393.0,Divorced,Self-Employed,High School,7925.560098404471,52796.51698174129,6559.3033963482585
57,68.0,2697.4718560011875,4.0,UP,0,,,,Divorced,Employed,PhD,6302.6004816412105,32369.662272014248,2473.9324544028495
58,24.0,5806.276074530173,2.0,TR,1,371777.50263365556,234104.0731558051,649.0,Single,Retired,Bachelor,,69675.31289436208,10902.593868308624
59,38.0,5057.755468452213,1.0,HP,1,211174.27609870388,236918.86821308086,538.0,Single,Retired,Master,6087.872338938494,,8207.919686427966
60,26.0,7160.877620902818,,JH,1,211087.15001892086,341408.9754983423,502.0,Divorced,Retired,PhD,4779.093862559442,85930.53145083382,15779.159435250145
61,56.0,3765.1923540478656,2.0,GJ,1,321536.8377494493,263428.52121722914,513.0,Divorced,Retired,High School,4397.312505042996,45182.30824857439,5036.461649714878
62,35.0,6633.044837926544,4.0,ML,0,396463.79134149314,149835.97836612212,565.0,Single,Unemployed,High School,3489.169040268999,,
63,21.0,6738.851225426307,0.0,WB,0,,,406.0,Married,Self-Employed,Bachelor,,80866.21470511568,14259.864411534703
64,42.0,5070.607530211831,1.0,WB,0,443789.29810273834,-3400.638165039767,673.0,Married,Employed,PhD,5761.365093869376,60847.29036254197,8254.187108762591
65,77.0,1743.7076437494961,,KL,1,270004.78698505025,,570.0,Widowed,Employed,PhD,7095.075014109638,20924.491724993954,1092.4491724993954
66,31.0,,,KL,1,228840.8416042116,170458.4231920552,,Single,Self-Employed,High School,4327.193897571053,,6154.756433200556
67,67.0,7678.806686456175,1.0,UP,0,345425.49935872137,158026.21311051515,334.0,Single,Retired,Bachelor,3414.325132484447,92145.6802374741,17643.704071242228
68,75.0,5445.583657237864,4.0,OR,0,245384.40465244785,,846.0,Widowed,Employed,Master,,65347.00388685436,9604.101166056309
69,26.0,6040.099558807829,4.0,MP,1,246630.16791657847,322966.91891475284,300.0,Single,Self-Employed,High School,5158.07696923979,72481.19470569395,
70,43.0,4866.250127547548,4.0,RJ,0,326000.0660875965,-15021.920115291228,408.0,Married,Retired,High School,535.4637331097083,58395.001530570575,7679.000306114115
71,70.0,4664.835635205307,4.0,NL,0,393187.1871777893,98489.91641099399,410.0,Single,Employed,Bachelor,3589.4664269514137,55978.027622463684,
72,19.0,2198.983146950741,3.0,UK,0,,390935.13913236634,544.0,Divorced,Retired,Bachelor,5937.134143755376,,1638.779776340889
73,37.0,,,UP,0,310830.06360360846,,573.0,Single,Self-Employed,PhD,3420.5333691162796,74305.30590699552,12291.591772098654
74,45.0,6619.521807083564,3.0,AS,0,492358.2262801804,224471.45543131404,325.0,Single,Unemployed,High School,5102.376273279508,79434.26168500277,13830.278505500832
75,64.0,3573.7065717999676,,UP,1,369645.43838660966,199623.31265216903,615.0,Widowed,Retired,Master,2511.5130851376343,42884.47886159961,4576.895772319922
76,77.0,4731.717317737539,0.0,GJ,1,,,,Divorced,Retired,High School,4177.106619852913,56780.60781285047,7356.121562570093
77,24.0,4529.3880839685635,,AP,1,410270.46564649726,,,Widowed,Unemployed,Bachelor,2826.1916394788664,54352.657007622765,6870.531401524553
78,61.0,5630.22994097943,3.0,AS,1,276048.12786334974,229411.74572247837,593.0,Single,Self-Employed,Master,,67562.75929175316,10268.827787525948
79,78.0,4183.454627736358,,RJ,0,360355.46458994626,,,Divorced,Self-Employed,High School,3482.716369555103,50201.45553283629,6040.291106567258
80,25.0,6397.011384774503,3.0,UK,1,354013.6945607047,144558.82885718285,611.0,Married,Unemployed,PhD,6745.267528058497,76764.13661729405,
81,64.0,5106.986474186733,,MH,0,300267.00897065265,,,Married,Retired,Master,,,
82,,1175.8654166229535,,BR,0,,253175.03565379712,487.0,Single,Unemployed,Bachelor,9103.64601423695,14110.384999475442,411.0384999475442
83,31.0,5664.080412788965,,OR,1,297244.5689744523,262018.77355066943,654.0,Married,Unemployed,PhD,3804.4756656815207,67968.96495346758,10390.689486040275
84,34.0,6494.526481386177,,SK,1,252591.0812645238,266553.5373262569,611.0,Single,Unemployed,PhD,7038.37683662927,77934.31777663413,13380.295332990238
85,53.0,3271.9075096025917,0.0,WB,1,326331.1998187709,187319.7051572715,745.0,Widowed,Employed,PhD,8716.417674214052,39262.8901152311,3852.5780230462206
86,67.0,5613.090402461861,,GA,1,342248.48372332915,27317.906126152113,455.0,Single,Unemployed,Bachelor,7235.918525374764,67357.08482954233,10207.1254488627
87,57.0,7744.939504631315,,PB,0,102939.71793203586,101988.12413574137,336.0,Divorced,Retired,Bachelor,7271.411836099511,92939.27405557578,
88,21.0,5168.099562767358,,HP,0,333765.6338051929,302869.0834797256,846.0,Divorced,Retired,High School,5241.6005154860395,62017.1947532083,8605.15842596249
89,19.0,6712.443296494234,0.0,KA,0,592528.0375148493,,737.0,Single,Retired,PhD,5462.985832118919,80549.31955793081,14164.795867379242
90,,,,SK,1,268324.89250147034,,626.0,Married,Unemployed,Master,3157.7983658604185,52041.21053574263,6408.242107148527
91,23.0,4973.053567314266,1.0,MN,1,398892.2014767893,118300.52006232602,653.0,Widowed,Employed,Master,-344.108537128488,,
92,71.0,4693.068068110481,0.0,HP,0,374196.96447833773,110251.79596373551,561.0,Single,Employed,PhD,,56316.81681732577,7263.363363465155
93,59.0,4419.319360478665,,KA,0,,,318.0,Married,Employed,Bachelor,3080.959584730159,53031.83232574398,
94,21.0,4778.416932375386,,UP,1,349770.39582181344,349029.0417683036,661.0,Divorced,Unemployed,High School,,57341.003188504634,7468.2006377009275
95,71.0,2553.9773286135237,,JH,1,,,307.0,Widowed,Self-Employed,Bachelor,3347.845859588567,30647.727943362283,
96,46.0,4503.679798425055,,AR,0,280248.5175982986,161230.20544242987,731.0,Married,Unemployed,Bachelor,5648.143946648595,54044.15758110066,6808.8315162201325
97,,7006.709683140178,4.0,SK,0,154070.57818645312,,777.0,Single,Self-Employed,PhD,4600.787799047501,84080.51619768213,15224.154859304637
98,43.0,3554.46491472225,1.0,MH,0,344227.93360073824,73631.77672619205,749.0,Widowed,Employed,PhD,7514.774249787376,42653.578976667,4530.7157953334
99,61.0,3400.8000927900343,1.0,BR,1,265896.69344810385,296927.53821275785,,Widowed,Retired,High School,3553.6228262904206,40809.601113480414,4161.920222696082
100,51.0,5091.818557092132,2.0,AR,0,434529.1412362186,361640.22553496214,835.0,Married,Employed,PhD,5361.149250036396,61101.82268510559,8330.546805531676
101,27.0,5166.774715035866,2.0,CG,0,164041.07707726493,246453.54356623223,418.0,Married,Retired,Bachelor,,62001.2965804304,8600.388974129119
102,79.0,5566.197078580979,,MH,1,390869.6373124446,106976.31442899126,756.0,Single,Retired,Master,4411.555278745364,66794.36494297175,10038.309482891524
103,53.0,4829.392140223042,0.0,MN,0,342135.0682300796,,308.0,Divorced,Employed,PhD,,57952.705682676504,7590.541136535301
104,31.0,5107.796246687501,3.0,OR,0,214166.7733978507,,746.0,Widowed,Unemployed,High School,8040.993306798784,,8388.066488075003
105,48.0,4473.6728395565015,4.0,GA,0,145440.421033208,188772.9298309938,467.0,Single,Self-Employed,High School,6686.17447859334,53684.07407467802,6736.814814935605
106,65.0,3086.305767050054,,UK,1,271008.5637025875,122479.02971336448,662.0,Divorced,Retired,Bachelor,,37035.66920460065,3407.13384092013
107,32.0,4892.912197534024,,MN,1,323665.4565552911,108815.3472005072,566.0,Married,Unemployed,PhD,3778.4890785281877,58714.94637040829,7742.989274081658
108,25.0,6086.895494663696,4.0,MH,0,193442.56898139152,,628.0,Divorced,Unemployed,High School,3435.308148234214,73042.74593596435,11912.823780789306
109,31.0,5772.581939528502,1.0,HR,1,205098.63686594102,193905.16812263022,315.0,Married,Employed,Bachelor,5231.293404653686,69270.98327434203,10781.294982302608
110,40.0,2383.636809591069,,PB,0,399045.3745446783,193069.42270456377,580.0,Divorced,Employed,Bachelor,1967.6544992674935,28603.641715092825,1860.3641715092826
111,77.0,5377.888044963624,,KL,0,221851.4788814617,210086.52078960327,715.0,Single,Employed,PhD,4568.950612859951,64534.6565395635,9360.39696186905
112,74.0,3660.845711214246,3.0,BR,1,357990.9394597968,43807.63876565808,777.0,Married,Employed,PhD,5764.133947329152,43930.14853457095,
113,79.0,7088.246007832073,2.0,RJ,0,421885.71660123783,,740.0,Widowed,Retired,PhD,3549.092275246995,85058.95209398487,15517.68562819546
114,57.0,5489.40467439257,,GA,1,219574.34104461345,,596.0,Single,Employed,Bachelor,5081.301228400652,65872.85609271083,9761.85682781325
115,38.0,,0.0,KA,1,175047.66987327443,319612.1940979976,679.0,Single,Employed,Bachelor,,76133.11128235092,12839.933384705275
116,33.0,5031.75221662229,4.0,TN,0,387199.8527108444,266209.5115446036,364.0,Divorced,Unemployed,Master,,60381.02659946748,8114.307979840243
117,62.0,,,SK,0,270117.96373598056,102860.12224053893,459.0,Single,Unemployed,Bachelor,5412.856907661664,58811.0100198454,7762.202003969081
118,35.0,7243.767376479871,0.0,GJ,1,256120.17695908458,168526.0583466907,475.0,Divorced,Self-Employed,High School,,,16077.562555327535
119,,6459.161594937525,1.0,TR,1,,,424.0,Divorced,Unemployed,Bachelor,8694.960240755838,77509.93913925029,13252.981741775086
120,70.0,5176.7879783713215,1.0,BR,0,273215.3584219698,,374.0,Married,Employed,PhD,5396.221716375396,62121.45574045586,8636.436722136757
121,41.0,4700.5003607939025,,UP,1,327765.2792510225,,804.0,Single,Employed,Bachelor,3162.1908589063078,56406.004329526826,7281.200865905365
122,43.0,2439.2379117036953,4.0,MN,0,138851.7228124427,196757.63346913332,638.0,Single,Self-Employed,PhD,1365.8981709151121,29270.854940444344,1927.0854940444344
123,,5486.85130231121,0.0,AP,0,292364.83418092306,242897.19442868413,434.0,Widowed,Employed,Bachelor,4900.870289607848,65842.21562773452,9752.664688320356
124,,4810.844046020428,3.0,HP,1,211872.01186649938,164648.49640040981,776.0,Single,Self-Employed,Master,7612.150953130971,57730.128552245136,7546.025710449027
125,77.0,5830.934070623414,1.0,TN,0,249303.60463042808,163549.38878297526,352.0,Widowed,Self-Employed,Bachelor,3789.870310674787,,10991.36265424429
126,,6286.728262302179,3.0,PB,1,243413.90791523064,,527.0,Single,Employed,Bachelor,5629.211987911569,75440.73914762615,12632.221744287846
127,62.0,6849.38164257087,,UP,0,430138.9915824863,322944.8513873183,399.0,Divorced,Unemployed,High School,6480.546199607226,82192.57971085043,14657.773913255129
128,58.0,5505.489366341606,,HR,0,233686.75760806422,247341.70986935106,776.0,Widowed,Unemployed,Master,,,9819.761718829779
129,46.0,3430.4593023076923,0.0,KL,0,246523.20898251998,122685.5128071146,648.0,Divorced,Unemployed,PhD,4991.905730742211,,4233.102325538462
130,32.0,1776.0296736228001,,GJ,0,453452.5234865268,256443.42498049984,334.0,Widowed,Self-Employed,High School,3683.500109189673,21312.3560834736,1131.2356083473603
131,62.0,,4.0,WB,0,264316.9460852879,,558.0,Single,Unemployed,Bachelor,,45155.40251357775,5031.080502715549
132,18.0,,3.0,NL,0,237955.04865945858,286517.09948265983,,Widowed,Self-Employed,High School,2860.362599600326,84002.79299109122,15200.837897327365
133,42.0,7735.237203949161,3.0,AP,1,410004.9941643021,222514.151337492,780.0,Divorced,Retired,PhD,3114.4954936735967,92822.84644738994,17846.853934216982
134,24.0,4643.148872346237,,HP,1,301594.8656754375,213679.32461183745,619.0,Divorced,Self-Employed,PhD,,55717.786468154845,7143.557293630969
135,,2808.561118576473,1.0,GJ,0,308774.67749356816,125484.35106831549,438.0,Single,Employed,High School,,33702.73342291768,2740.5466845835354
136,41.0,4027.37963749574,2.0,MH,1,329888.37770796585,306531.6676342301,429.0,Divorced,Employed,Master,5575.255573898404,48328.55564994888,5665.711129989777
137,18.0,6706.708734046806,,UP,1,433961.3411192594,253336.14556745064,682.0,Single,Unemployed,PhD,3565.3577270518626,80480.50480856167,14144.151442568502
138,61.0,4113.48023970934,,AP,1,196604.38933392573,279112.3425872034,398.0,Married,Employed,Master,7394.585661374695,49361.762876512075,5872.352575302415
139,25.0,5883.685921501271,,MP,1,414442.27347417816,49370.911727414175,713.0,Divorced,Unemployed,PhD,4535.126494025018,70604.23105801526,11181.269317404576
140,41.0,5252.837451947053,,PB,1,150628.20004627734,276526.0646980785,320.0,Married,Retired,Master,,63034.04942336463,8910.21482700939
141,28.0,6065.004888555581,0.0,MN,0,218462.99959227856,202005.69506524716,740.0,Married,Self-Employed,PhD,7329.721565139114,72780.05866266697,11834.01759880009
142,68.0,7727.016498420557,0.0,CG,0,210336.94392276002,,654.0,Widowed,Employed,High School,,92724.19798104669,17817.259394314005
143,34.0,,3.0,CG,0,285895.5630273364,104164.41403153347,607.0,Married,Unemployed,Master,3729.35015351211,70616.06655961809,11184.819967885427
144,25.0,5220.374414956894,,MH,0,,345053.2860515879,497.0,Widowed,Retired,High School,,62644.492979482726,8793.347893844817
145,,7892.560348713379,,MH,0,427099.85762421216,147840.527266526,757.0,Divorced,Employed,High School,6627.831949405323,94710.72418456056,18413.217255368167
146,52.0,5524.328152437592,,MH,1,352009.0985000707,,820.0,Single,Employed,PhD,5687.319904694384,66291.9378292511,9887.58134877533
147,50.0,3810.578754002599,1.0,CG,1,298537.9657261045,183623.8679399724,780.0,Single,Retired,Bachelor,,45726.945048031186,5145.389009606237
148,76.0,6031.197934654228,3.0,KA,0,212182.00154164713,348023.6034007705,331.0,Widowed,Self-Employed,High School,7558.238375357872,72374.37521585074,11712.312564755222
149,22.0,5671.183313199456,3.0,OR,0,440135.8652683081,,,Widowed,Employed,Bachelor,3780.0218005388815,68054.19975839347,10416.259927518042
150,59.0,4538.146486594101,4.0,CG,1,309835.84841370746,350779.1275784981,411.0,Married,Retired,PhD,3840.166666295809,54457.757839129205,6891.551567825841
151,56.0,4223.6209213005895,1.0,BR,0,274921.64110122214,194398.57817309507,558.0,Widowed,Unemployed,High School,,50683.451055607075,6136.690211121415
152,75.0,4552.6107690276385,2.0,MN,0,286393.4780066101,,576.0,Married,Employed,Bachelor,,54631.32922833166,6926.265845666333
153,,4202.165963747365,2.0,RJ,1,277810.8123486259,,627.0,Married,Self-Employed,Master,7436.930778533925,50425.99156496838,6085.198312993676
154,45.0,4601.360271930663,2.0,GJ,0,384611.1556697224,,415.0,Widowed,Self-Employed,Bachelor,5344.4328173573085,55216.32326316796,
155,24.0,3735.8050966372075,,CG,0,413035.33295981324,151671.6955738502,,Married,Retired,High School,,44829.66115964649,4965.932231929299
156,26.0,5579.232032239724,,MN,0,207405.61327482737,299451.9681895461,832.0,Divorced,Self-Employed,Bachelor,3450.813591860713,66950.78438687668,10085.235316063005
157,25.0,5466.801970938229,,MH,0,234771.45444794153,91752.31991346671,597.0,Divorced,Unemployed,PhD,6973.234690013997,65601.62365125875,9680.487095377624
158,,5517.802665844204,0.0,TS,0,239758.8877967406,352925.5116307433,357.0,Widowed,Retired,Bachelor,7847.3733814621155,66213.63199013045,9864.089597039136
159,51.0,4906.445990845019,,TS,1,331986.3937080898,185198.711524839,414.0,Married,Retired,Master,2450.9534855552047,58877.35189014023,7775.470378028046
160,50.0,4733.505115962407,2.0,AS,0,399806.15154763643,,687.0,Widowed,Self-Employed,Bachelor,2750.0116885833077,56802.06139154889,7360.412278309777
161,65.0,7163.008696480272,,CG,0,162696.11676403246,,612.0,Divorced,Self-Employed,Master,3389.58541305944,85956.10435776327,
162,72.0,5101.108830256704,1.0,KL,1,195362.6718006173,214621.05996204773,847.0,Married,Retired,Bachelor,6849.498258991199,61213.30596308045,8363.991788924135
163,40.0,,,PB,0,265640.26150716265,187696.8005579093,,Widowed,Unemployed,PhD,5361.996372164966,82747.80322899859,14824.340968699576
164,79.0,3505.37602525053,2.0,MH,0,353375.8011247512,149610.87062561075,351.0,Single,Unemployed,PhD,,42064.512303006355,4412.902460601272
165,41.0,5883.766751302068,4.0,CG,1,205902.7677480329,305126.17920435057,751.0,Married,Unemployed,Bachelor,,70605.20101562481,11181.560304687444
166,54.0,3897.9454450099765,,TS,1,261393.5544366056,,821.0,Divorced,Unemployed,High School,8864.285892229918,46775.34534011972,
167,52.0,4165.772107559998,,BR,1,,,451.0,Single,Unemployed,High School,,49989.26529071998,5997.853058143996
168,61.0,4382.141240108673,,RJ,1,375751.65479628067,231858.55921310783,665.0,Divorced,Retired,Master,4380.130945296156,52585.69488130407,6517.138976260815
169,57.0,4288.101547094332,0.0,ML,1,289045.95263641875,137600.74415277108,808.0,Divorced,Retired,Master,-1152.7674372406645,51457.21856513199,6291.443713026398
170,39.0,4295.5930152772235,2.0,GJ,0,227129.79141951853,,,Widowed,Employed,High School,,51547.11618332668,6309.423236665337
171,44.0,6825.912634835848,,AS,1,,,569.0,Divorced,Self-Employed,Master,7174.020425323266,81910.95161803017,14573.285485409051
172,52.0,5068.11675967646,4.0,SK,1,260395.29825007665,288567.71204727277,549.0,Single,Unemployed,High School,4386.674190225023,,8245.220334835254
173,18.0,5337.583083814414,3.0,TR,1,273604.45504376816,147155.2891546836,759.0,Widowed,Self-Employed,Bachelor,6305.561035250232,64050.997005772966,9215.29910173189
174,52.0,4314.260054672825,0.0,UK,1,384731.3425711607,123020.820531033,,Widowed,Retired,Master,1928.1010612127116,51771.12065607391,6354.224131214782
175,,6285.408955577163,2.0,BR,0,401817.4442838346,207908.27610582425,411.0,Married,Employed,Bachelor,5957.310245677241,75424.90746692596,
176,64.0,5532.584417358379,,PB,1,181692.33156907768,71246.53978879887,402.0,Single,Retired,High School,9909.347181109155,66391.01300830055,9917.303902490165
177,31.0,4536.607033475392,0.0,SK,0,398457.0691638425,273196.2207126601,311.0,Single,Employed,Master,4236.060957653265,54439.2844017047,6887.856880340941
178,20.0,2623.5741610600353,,GA,0,371258.70083839213,,769.0,Divorced,Retired,Master,5834.953760180875,31482.889932720424,2296.5779865440845
179,18.0,5324.444687602806,,AS,1,246896.76403890143,187725.5191992559,531.0,Widowed,Unemployed,Master,3820.150310672027,63893.336251233675,
180,22.0,5863.519283803187,2.0,AP,0,375793.70200416323,,803.0,Single,Self-Employed,Master,5351.976289852139,70362.23140563825,11108.669421691473
181,43.0,3531.7282425149806,1.0,AS,0,220785.90016568394,,754.0,Single,Self-Employed,Bachelor,7215.513972324692,42380.73891017977,4476.147782035954
182,72.0,4556.908071951257,1.0,TS,0,340564.85127852426,,336.0,Divorced,Employed,Master,6198.485923676028,54682.89686341508,6936.579372683016
183,31.0,5805.740752191434,3.0,HR,1,542523.0023470288,,449.0,Married,Employed,Master,,69668.8890262972,10900.666707889159
184,56.0,2643.607914317349,,ML,1,,104323.42877073976,436.0,Single,Retired,PhD,4762.182886059862,31723.294971808187,2344.6589943616373
185,,4026.7217248851657,0.0,SK,0,,137457.8716456079,763.0,Divorced,Employed,Master,,48320.660698621985,5664.132139724397
186,,5565.363412439602,4.0,GJ,1,168619.9128925828,279151.7092111961,,Married,Unemployed,Master,7036.293961455738,66784.36094927523,10035.308284782568
187,32.0,6657.527658277415,4.0,NL,1,308211.4870800597,,640.0,Married,Retired,PhD,,79890.33189932897,13967.099569798691
188,32.0,8278.66971840675,1.0,HP,1,399790.33696763776,295886.8144140319,628.0,Married,Unemployed,High School,2489.124544270195,99344.036620881,
189,43.0,7937.982152550636,3.0,AS,0,229063.7842686833,183877.65199974814,695.0,Married,Employed,Bachelor,5351.770886711956,,18576.73574918229
190,59.0,5215.654223474014,4.0,NL,1,354094.9804627092,56515.913889578514,415.0,Single,Self-Employed,High School,,62587.85068168816,8776.35520450645
191,77.0,4273.659677777072,4.0,ML,1,273668.2238289979,259894.46906196547,628.0,Single,Unemployed,PhD,,51283.91613332486,6256.783226664973
